1984-1985,142523,140424,屯留县
1984-1985,142524,140428,长子县
1984-1985,142525,140521,沁水县
1984-1985,142526,140522,阳城县
1984-1985,142528,140523,高平县
1984-1985,142529,140524,陵川县
1984-1985,142530,140427,壶关县
1984-1985,142531,140425,平顺县
1984-1985,142532,140426,黎城县
1984-1985,142533,140429,武乡县
1984-1985,142534,140423,襄垣县
1984-1985,142535,140430,沁县
1984-1985,142536,140431,沁源县
1984-1985,210322,210319,海城县 -> 海城市
1984-1985,210422,210422,新宾县 -> 新宾满族自治县
1984-1985,210505,210511,南芬区
1984-1985,210621,210621,凤城县 -> 凤城满族自治县
1984-1985,210622,210622,岫岩县 -> 岫岩满族自治县
1984-1985,210721,210719,锦西县 -> 锦西市
1984-1985,211326,211319,北票县 -> 北票市
1984-1985,222200,220500,通化地区 -> 通化市
1984-1985,222223,220524,柳河县
1984-1985,222224,220523,辉南县
1984-1985,222225,220522,集安县
1984-1985,222226,220621,抚松县
1984-1985,222227,220622,靖宇县
1984-1985,222228,220623,长白朝鲜族自治县
1984-1985,222422,222403,敦化县 -> 敦化市
1984-1985,330221,330211,镇海县 -> 镇海区
1984-1985,330223,330219,余姚县 -> 余姚市
1984-1985,332400,330700,金华地区 -> 金华市
1984-1985,332421,330701,兰溪县 -> 兰溪市
1984-1985,332422,330722,永康县
1984-1985,332423,330723,武义县
1984-1985,332424,330724,东阳县
1984-1985,332425,330725,义乌县
1984-1985,332426,330726,浦江县
1984-1985,332427,330822,常山县
1984-1985,332428,330823,江山县
1984-1985,332429,330824,开化县
1984-1985,332430,330825,龙游县
1984-1985,332431,330727,磐安县
1984-1985,350501,350420,永安市
1984-1985,352421,350521,惠安县
1984-1985,352422,350522,晋江县
1984-1985,352423,350523,南安县
1984-1985,352424,350524,安溪县
1984-1985,352425,350525,永春县
1984-1985,352426,350526,德化县
1984-1985,352427,350527,金门县
1984-1985,352521,350621,龙海县
1984-1985,352522,350622,云霄县
1984-1985,352523,350623,漳浦县
1984-1985,352524,350624,诏安县
1984-1985,352525,350625,长泰县
1984-1985,352526,350626,东山县
1984-1985,352527,350627,南靖县
1984-1985,352528,350628,平和县
1984-1985,352529,350629,华安县
1984-1985,370901,370620,威海市
1984-1985,372600,370900,泰安地区 -> 泰安市
1984-1985,372602,370981,莱芜市
1984-1985,372603,370982,新泰市
1984-1985,372624,370921,宁阳县
1984-1985,372625,370922,肥城县
1984-1985,372626,370923,东平县
1984-1985,372627,370124,平阴县
1984-1985,372629,370830,汶上县
1984-1985,372630,370831,泗水县
1984-1985,430222,430219,醴陵县 -> 醴陵市
1984-1985,433128,433102,大庸县 -> 大庸市
1984-1985,442527,442502,东莞县 -> 东莞市
1984-1985,512400,511000,内江地区 -> 内江市
1984-1985,512422,511025,资中县
1984-1985,512423,511026,资阳县
1984-1985,512424,511027,简阳县
1984-1985,512425,511024,威远县
1984-1985,512426,511028,隆昌县
1984-1985,512427,511023,安岳县
1984-1985,512428,511022,乐至县
1984-1985,512525,510524,叙永县
1984-1985,512526,510525,古蔺县
1984-1985,512600,511100,乐山地区 -> 乐山市
1984-1985,512621,511121,仁寿县
1984-1985,512622,511122,眉山县
1984-1985,512623,511123,犍为县
1984-1985,512624,511124,井研县
1984-1985,512625,511125,峨眉县
1984-1985,512626,511126,夹江县
1984-1985,512627,511127,洪雅县
1984-1985,512628,511128,彭山县
1984-1985,512629,511129,沐川县
1984-1985,512630,511130,青神县
1984-1985,512631,511131,丹棱县
1984-1985,512632,511132,峨边彝族自治县
1984-1985,512633,511133,马边彝族自治县
1984-1985,512800,510700,绵阳地区 -> 绵阳市
1984-1985,512823,510724,安县
1984-1985,512824,510721,江油县
1984-1985,512825,510725,梓潼县
1984-1985,512826,510823,剑阁县
1984-1985,512828,510821,旺苍县
1984-1985,512829,510822,青川县
1984-1985,512830,510727,平武县
1984-1985,512831,510726,北川县
1984-1985,512833,510722,三台县
1984-1985,512835,510921,蓬溪县
1984-1985,512836,510922,射洪县
1984-1985,512837,510723,盐亭县
1984-1985,512931,510824,苍溪县
1984-1985,530128,530128,禄劝县 -> 禄劝彝族苗族自治县
1984-1985,532530,532530,金平县 -> 金平苗族瑶族傣族自治县
1984-1985,532722,532722,普洱县 -> 普洱哈尼族彝族自治县
1984-1985,532724,532724,景东县 -> 景东彝族自治县
1984-1985,532725,532725,景谷县 -> 景谷傣族彝族自治县
